awards,winners
Record Of The Year,"Leave The Door Open - WINNERSilk SonicDernst ""D'Mile"" Emile II & Bruno Mars, producers; Serban Ghenea, John Hanes & Charles Moniz, engineers/mixers; Randy Merrill, mastering engineer"
Album Of The Year,"We Are - WINNERJon BatisteCraig Adams, David Gauthier, Braedon Gautier, Brennon Gautier, Gospel Soul Children Choir, Hot 8 Brass Band, PJ Morton, Autumn Rowe, Zadie Smith, St. Augustine High School Marching 100 & Trombone Shorty, featured artists; Jon Batiste, Mikey Freedom Hart, DJ Khalil, King Garbage, Kizzo, Sunny Levine, Nate Mercereau, David Pimentel, Ricky Reed, Autumn Rowe, Jahaan Sweet & Nick Waterhouse, producers; Jon Batiste, Russ Elevado, Mischa Kachkachishvili, Kizzo, Joseph Lorge, Manny Marroquin, Ken Oriole, David Pimentel, Ricky Reed, Jaclyn Sanchez, Matt Vertere, Marc Whitmore & Alex Williams, engineers/mixers; Andrae Alexander, Troy Andrews, Jon Batiste, Zach Cooper, Vic Dimotsis, Eric Frederic, Kizzo, Sunny Levine, Steve McEwan, PJ Morton, Autumn Rowe & Mavis Staples, songwriters; Michelle Mancini, mastering engineer"
Song Of The Year,"Leave The Door Open - WINNERBrandon Anderson, Christopher Brody Brown, Dernst Emile II & Bruno Mars, songwriters (Silk Sonic)"
Best New Artist,Olivia Rodrigo - WINNER
Best Pop Solo Performance,drivers license - WINNEROlivia Rodrigo
Best Pop Duo/Group Performance,Kiss Me More - WINNERDoja Cat Featuring SZA
Best Traditional Pop Vocal Album,Love For Sale - WINNERTony Bennett & Lady Gaga
Best Pop Vocal Album,Alive - WINNNER
Best Dance/Electronic Recording,Subconsciously - WINNER
Best Dance/Electronic Music Album,Tree Falls - WINNERTaylor Eigsti
Best Contemporary Instrumental Album,Making A Fire - WINNERFoo Fighters
Best Rock Performance,The Alien - WINNERDream Theater
Best Metal Performance,"Waiting On A War - WINNERDave Grohl, Taylor Hawkins, Rami Jaffee, Nate Mendel, Chris Shiflett & Pat Smear, songwriters (Foo Fighters)"
Best Rock Song,Medicine At Midnight - WINNERFoo Fighters
Best Rock Album,Daddy's Home - WINNERSt. Vincent
Best Alternative Music Album,"['Leave The Door Open - TIESilk Sonic', 'Pick Up Your Feelings - TIEJazmine Sullivan']"
Best R&B Performance,Fight For You - WINNERH.E.R.
Best Traditional R&B Performance,"Leave The Door Open - WINNERBrandon Anderson, Christopher Brody Brown, Dernst Emile II & Bruno Mars, songwriters (Silk Sonic)"
Best R&B Song,Table For Two - WINNERLucky Daye
Best Progressive R&B Album,Heaux Tales - WINNERJazmine Sullivan
Best R&B Album,Family Ties - WINNERBaby Keem Featuring Kendrick Lamar
Best Rap Performance,Hurricane - WINNERKanye West Featuring The Weeknd & Lil Baby
Best Melodic Rap Performance,"Jail - WINNERDwayne Abernathy, Jr., Shawn Carter, Raul Cubina, Michael Dean, Charles M. Njapa, Sean Solymar, Kanye West & Mark Williams, songwriters (Kanye West Featuring Jay-Z)"
Best Rap Song,"Call Me If You Get Lost - WINNERTyler, The Creator"
Best Rap Album,You Should Probably Leave - WINNERChris Stapleton
Best Country Solo Performance,Younger Me - WINNER
Best Country Duo/Group Performance,Cold - WINNER
Best Country Song,Starting Over - WINNERChris Stapleton
Best Country Album,Divine Tides - WINNER
Best New Age Album,Humpty Dumpty (Set 2) - WINNER
Best Improvised Jazz Solo,Songwrights Apothecary Lab - WINNEREsperanza Spalding
Best Jazz Vocal Album,Skyline - WINNER
Best Jazz Instrumental Album,"For Jimmy, Wes And Oliver - WINNER"
Best Large Jazz Ensemble Album,Mirror Mirror - WINNER
